word,meaning,example
study,学习,I study English every day.
learn,学习,Learning is fun.
read,读书,I like to read books.
write,写,Write your name here.
listen,听,Listen to the music.
speak,说,Speak clearly.
watch,看,Watch the movie.
play,玩,Play games with friends.
work,工作,I work from home.
live,生活,Live a happy life.
time,时间,Time is money.
day,天,Today is a good day.
week,周,I work five days a week.
month,月,This month is busy.
year,年,Happy New Year!
people,人,Many people like music.
family,家庭,Family is important.
friend,朋友,He is my best friend.
school,学校,I go to school every day.
teacher,老师,The teacher is kind.
student,学生,She is a good student.
